train_leads.py gs
Calling the run method
[1][1/60][1/1] | loss: 8.959e-02 | loss_train: 1.063e-02 | loss_e0: 9.269e-02 | loss_e1: 4.571e-02 | loss_e2: 1.304e-01
[2][2/60][1/1] | loss: 8.748e-02 | loss_train: 1.058e-02 | loss_e0: 9.031e-02 | loss_e1: 4.492e-02 | loss_e2: 1.272e-01
[3][3/60][1/1] | loss: 8.538e-02 | loss_train: 1.053e-02 | loss_e0: 8.789e-02 | loss_e1: 4.424e-02 | loss_e2: 1.240e-01
[4][4/60][1/1] | loss: 8.324e-02 | loss_train: 1.049e-02 | loss_e0: 8.537e-02 | loss_e1: 4.366e-02 | loss_e2: 1.207e-01
[5][5/60][1/1] | loss: 8.101e-02 | loss_train: 1.056e-02 | loss_e0: 8.270e-02 | loss_e1: 4.317e-02 | loss_e2: 1.172e-01
[6][6/60][1/1] | loss: 7.867e-02 | loss_train: 1.038e-02 | loss_e0: 7.986e-02 | loss_e1: 4.275e-02 | loss_e2: 1.134e-01
[7][7/60][1/1] | loss: 7.619e-02 | loss_train: 1.038e-02 | loss_e0: 7.681e-02 | loss_e1: 4.242e-02 | loss_e2: 1.093e-01
[8][8/60][1/1] | loss: 7.356e-02 | loss_train: 1.026e-02 | loss_e0: 7.357e-02 | loss_e1: 4.218e-02 | loss_e2: 1.049e-01
[9][9/60][1/1] | loss: 7.078e-02 | loss_train: 1.020e-02 | loss_e0: 7.013e-02 | loss_e1: 4.203e-02 | loss_e2: 1.002e-01
[10][10/60][1/1] | loss: 6.787e-02 | loss_train: 1.013e-02 | loss_e0: 6.654e-02 | loss_e1: 4.200e-02 | loss_e2: 9.506e-02
[11][11/60][1/1] | loss: 6.485e-02 | loss_train: 1.005e-02 | loss_e0: 6.285e-02 | loss_e1: 4.209e-02 | loss_e2: 8.962e-02
[12][12/60][1/1] | loss: 6.178e-02 | loss_train: 9.973e-03 | loss_e0: 5.913e-02 | loss_e1: 4.231e-02 | loss_e2: 8.391e-02
[13][13/60][1/1] | loss: 5.873e-02 | loss_train: 9.893e-03 | loss_e0: 5.549e-02 | loss_e1: 4.268e-02 | loss_e2: 7.802e-02
[14][14/60][1/1] | loss: 5.579e-02 | loss_train: 9.854e-03 | loss_e0: 5.206e-02 | loss_e1: 4.323e-02 | loss_e2: 7.208e-02
[15][15/60][1/1] | loss: 5.310e-02 | loss_train: 1.040e-02 | loss_e0: 4.901e-02 | loss_e1: 4.397e-02 | loss_e2: 6.632e-02
[16][16/60][1/1] | loss: 5.077e-02 | loss_train: 9.874e-03 | loss_e0: 4.646e-02 | loss_e1: 4.495e-02 | loss_e2: 6.090e-02
[17][17/60][1/1] | loss: 4.898e-02 | loss_train: 9.612e-03 | loss_e0: 4.462e-02 | loss_e1: 4.619e-02 | loss_e2: 5.613e-02
[18][18/60][1/1] | loss: 4.783e-02 | loss_train: 9.572e-03 | loss_e0: 4.359e-02 | loss_e1: 4.765e-02 | loss_e2: 5.224e-02
